Source,Target,Weight
84,149,14.2222
84,241,11.7273
84,232,18.4194
84,370,11.5833
84,198,13
84,371,10
84,113,12.8
84,281,12.8
84,151,10.5
84,277,26
84,29,11
84,27,11
84,369|84,61.0952
84,223|84,102.233
84,340|84,106.952
84,25|84,35.56
84,83|84,210.7
84,364|84,35.4545
84,182,11.5
84,191|84,38.8421
84,208|84,95
84,225|84,24.2857
84,275,10
84,156|84,30
84,197|84,57
84,244,10
84,272,12
84,190|84,29.5882
84,266|84,29.6667
84,211|84,76.6875
84,224|84,44.2308
84,187,15
84,180|84,34.1
84,164|84,36.4
84,252,11.25
84,288,12.3
84,230,11
84,158|84,35.6923
84,163|84,29.3333
84,192|84,26.2857
84,212|84,91.25
84,203|84,80
84,236,12
84,143|84,22.625
84,40,11.5
84,229|84,29
84,368|84,61.8462
84,342|84,141.2
84,149|84,23
84,181|84,38.5
84,26|84,50
84,157|84,29
84,278|84,99.1852
84,22|84,95.1667
84,153|84,41.3333
84,222|84,121.455
84,220|84,101.667
84,226|84,18
84,314,13.5
84,250,13.8333
84,273,10.6667
84,174,11
84,98,11
84,161,14
84,206|84,35
84,49,13
84,16|84,60
84,209|84,135
84,366|84,117.444
84,199|84,41.5
84,210|84,137
84,20|84,153.5
84,339|84,107.25
84,365|84,157.286
84,205|84,157.333
84,221|84,64.6667
84,358|84,93.7273
84,216|84,47
84,215|84,37.5
84,341|84,63.3333
84,128,21.6667
84,4,10
84,281|84,15
84,207|84,131.5
160|84,84,11
30,83,10
83,340,96.3333
83,22,114
83,217,148.286
83,212,66.2
83,61,12.8462
83,363,279.429
83,369,49.5
83,365,201.357
83,234|83,268.741
83,20,278.5
83,17,10.5
83,205,158.417
83,339,135.2
83,202,37.8064
83,16,38.3448
83,204,120.32
83,29|83,14
83,364|83,48.7143
83,366,205.188
83,220,105.125
83,23,114
83,218,91.7308
83,208,110.5
83,209,216.846
83,222,87.4
83,211,87.7143
83,203,77.0556
83,206,19.3667
83,207,129.143
83,21,459.586
83,342,280.259
83,210,275.684
83,220|83,116.826
83,27|83,22.25
83,203|83,80.6154
83,278,63
83,26,24.1905
83,197,32.129
83,89,12.6
83,364,33.3333
83,358,37.0741
83,368,81.3333
83,234,354.75
83,224,26.75
83,226,20.6667
83,143,17.8
83,266,16.04
83,287,13.72
83,140,14.2727
83,341,67.3478
83,196,26.4516
83,253,19.5417
83,219,69.2903
83,199,27.4194
83,19,25.3548
83,214,29.4
83,216,54.4583
83,221,50.2308
83,215,48.5417
83,299,11.4
83,163,20.6667
83,155,15.5556
83,181,40
83,158,34
83,162,19.0833
83,233,33.9231
83,200,24.1613
83,142,13.1111
83,367,19.4516
83,159,25.9231
83,375,16.3182
83,156,15
83,180,38
83,157,17
