Lat,Lon,Name,Borough
-73.73526873708033,40.69277463916089,Cambria Heights,Queens
-73.73526079428285,40.65981643342812,Rosedale,Queens
-73.7549796804388,40.60313443250093,Far Rockaway,Queens
-73.82005489110327,40.603026583512424,Broad Channel,Queens
-73.92551196994177,40.557401288454564,Breezy Point,Queens
-73.90228960391681,40.77592301564293,Steinway,Queens
-73.80436451720996,40.792781403600515,Beechhurst,Queens
-73.77613282391712,40.59564180736854,Edgemere,Queens
-73.7919923313695,40.58914394372975,Arverne,Queens
-73.82236121088758,40.58280169684563,Seaside,Queens
-73.85754672410836,40.57203673021705,Neponsit,Queens
-73.81276269135873,40.7641261226141,Murray Hill,Queens
-73.70884705889253,40.74137842194548,Floral Park,Queens
-73.76714166714736,40.720957207644446,Holliswood,Queens
-73.78722696936667,40.716804830146174,Jamaica Estates,Queens
-73.82580915110566,40.744572309286745,Queensboro Hill,Queens
-73.79760300912679,40.72382490182924,Hillcrest,Queens
-73.93157506072886,40.76170452605419,Ravenswood,Queens
-73.84963782402448,40.66391841925143,Lindenwood,Queens
-73.74025607989829,40.667883896602504,Laurelton,Queens
-73.86252471413746,40.73607457083084,Lefrak City,Queens
-73.85401750392529,40.57615556543113,Belle Harbor,Queens
-73.84153370226193,40.58034295646135,Rockaway Park,Queens
-73.79664750844056,40.59771061565772,Somerville,Queens
-73.7517531073116,40.66000322733616,Brookville,Queens
-73.73889198912488,40.73301404027838,Bellaire,Queens
-73.85751790676454,40.75407099904894,North Corona,Queens
-73.84102211234017,40.71461108151174,Forest Hills Gardens,Queens
-74.07935312512804,40.64498157100444,St. George,Staten Island
-74.08701650516633,40.64061455913515,New Brighton,Staten Island
-74.07790192660073,40.6269276253818,Stapleton,Staten Island
-74.06980526716148,40.61530494652765,Rosebank,Staten Island
-74.10718178265617,40.63187892654611,West Brighton,Staten Island
-74.08724819983736,40.62418479131304,Grymes Hill,Staten Island
-74.11132881800887,40.59706851814676,Todt Hill,Staten Island
-74.07955292539827,40.5802474135096,South Beach,Staten Island
-74.12943426797015,40.63366930554369,Port Richmond,Staten Island
-74.15008537046988,40.63254639048117,Mariner's Harbor,Staten Island
-74.17464532993549,40.63968297845546,Port Ivory,Staten Island
-74.1191805853485,40.613335937667465,Castleton Corners,Staten Island
-74.16496031329834,40.59425237916174,New Springville,Staten Island
-74.19073717538123,40.58631375103285,Travis,Staten Island
-74.11647943606387,40.57257231820636,New Dorp,Staten Island
-74.12156593771904,40.558462243288844,Oakwood,Staten Island
-74.14932381490999,40.54948022871365,Great Kills,Staten Island
-74.16433080419367,40.54223074745079,Eltingville,Staten Island
-74.17854866165885,40.538114174745104,Annadale,Staten Island
-74.22135055371616,40.53745265012707,Woodrow,Staten Island
-74.24656934235291,40.505333761156464,Tottenville,Staten Island
-74.08055351790122,40.63731606711036,Tompkinsville,Staten Island
-74.09629029235465,40.619193107926804,Silver Lake,Staten Island
-74.09712552178537,40.612760157564935,Sunnyside,Staten Island
-73.96101312466787,40.64367518334101,Ditmas Park,Brooklyn
-73.93718680559321,40.660946561881154,Wingate,Brooklyn
-73.92688212616963,40.65557231328081,Rugby,Brooklyn
-74.08015734936303,40.60919044434562,Park Hill,Staten Island
-74.13304143951713,40.62109047275413,Westerleigh,Staten Island
-74.1531524638777,40.62017151223193,Graniteville,Staten Island
-74.16510420241131,40.63532509911496,Arlington,Staten Island
-74.06712363225581,40.596312571276776,Arrochar,Staten Island
-74.07667436279057,40.59826835959995,Grasmere,Staten Island
-74.08751118005587,40.596328913795176,Old Town,Staten Island
-74.09639905312528,40.58867294819932,Dongan Hills,Staten Island
-74.09348266303599,40.573526905742874,Midland Beach,Staten Island
-74.10585598545441,40.57621558711792,Grant City,Staten Island
-74.10432707469131,40.56425549307338,New Dorp Beach,Staten Island
-74.13916622175775,40.55398800858466,Bay Terrace,Staten Island
-74.19174105747821,40.53191192048964,Huguenot,Staten Island
-74.21983106616784,40.52469937611818,Pleasant Plains,Staten Island
-74.22950350260034,40.506081653463085,Butler Manor,Staten Island
-74.23215775896533,40.530531482833176,Charleston,Staten Island
-74.21572851113959,40.549404006500765,Rossville,Staten Island
-74.185886745839,40.549285822783254,Arden Heights,Staten Island
-74.19150620964295,40.559712496342954,Greenridge,Staten Island
-74.15902208156608,40.589138948752854,Heartland Village,Staten Island
-74.18956045519697,40.59472602746298,Chelsea,Staten Island
-74.18725638381574,40.60577868452362,Bloomfield,Staten Island
-74.15940948657129,40.60959180042034,Bulls Head,Staten Island
-73.95325646837121,40.78268256712574,Carnegie Hill,Manhattan
-73.98843368023604,40.72325901885772,Noho,Manhattan
-74.00541529873362,40.715228920462856,Civic Center,Manhattan
-73.98871313285254,40.748509664312245,Midtown South,Manhattan
-74.13405729862578,40.56960594275509,Richmond Town,Staten Island
-74.06667766061778,40.609719340792886,Shore Acres,Staten Island
-74.07264244548406,40.61917845202847,Clifton,Staten Island
-74.08402364740365,40.604473189687944,Concord,Staten Island
-74.09776206972529,40.606794394801035,Emerson Hill,Staten Island
-74.09805062373894,40.63563000681155,Randall Manor,Staten Island
-74.1862233174983,40.638432837947995,Howland Hook,Staten Island
-74.14181678968897,40.63014674119387,Elm Park,Staten Island
-73.91665331978055,40.65211745179353,Remsen Village,Brooklyn
-73.885117763793,40.66274427969663,New Lots,Brooklyn
-73.90233474295843,40.63131755039671,Paerdegat Basin,Brooklyn
-73.9151539155041,40.615974239623405,Mill Basin,Brooklyn
-73.796464620816,40.71145964370486,Jamaica Hills,Queens
-73.79671678028357,40.7335002542976,Utopia,Queens
-73.80486120040544,40.73493618075482,Pomonok,Queens
-73.89467996270581,40.770317392998244,Astoria Heights,Queens
-73.90119903387674,40.83142834161551,Claremont Village,Bronx
-73.91584652759016,40.82478049084294,Concourse Village,Bronx
-73.91655551964426,40.843826176716576,Mount Eden,Bronx
-73.90829930881995,40.84884160724669,Mount Hope,Bronx
-73.9635561409431,40.76028033131378,Sutton Place,Manhattan
-73.95386782130753,40.74341409007358,Hunters Point,Queens
-73.96770824581843,40.75204236950726,Turtle Bay,Manhattan
-73.97121928722272,40.74691741074023,Tudor City,Manhattan
-73.9740517046921,40.73099955477065,Stuyvesant Town,Manhattan
-73.99094710528267,40.73967304763847,Flatiron,Manhattan
-73.9181928643169,40.745651806080794,Sunnyside Gardens,Queens
-73.93244235260185,40.73725071694501,Blissville,Queens
-73.99550751888422,40.70328109093018,Fulton Ferry,Brooklyn
-73.981116035924,40.703321498828785,Vinegar Hill,Brooklyn
-73.93053108817347,40.67503986503241,Weeksville,Brooklyn
-73.90331684852606,40.67786104769535,Broadway Junction,Brooklyn
-73.98875280745047,40.70317632822696,Dumbo,Brooklyn
-74.12059399718008,40.60180957631448,Manor Heights,Staten Island
-74.13208447484305,40.60370692627375,Willowbrook,Staten Island
-74.21776636068574,40.5411399220918,Sandy Ground,Staten Island
-74.12727240604953,40.579118742961256,Egbertville,Staten Island
-73.89213760232829,40.567375889570364,Roxbury,Queens
-73.9591845942871,40.59852509513729,Homecrest,Brooklyn
-73.8811431920061,40.71641451115823,Middle Village,Queens
-74.20152556457666,40.526264067348166,Prince's Bay,Staten Island
-74.13792663771576,40.576506293794935,Lighthouse Hill,Staten Island
-74.22957080626948,40.519541457489126,Richmond Valley,Staten Island
-73.8266775713865,40.790601556701525,Malba,Queens
-73.8902809854761,40.68248551101694,Highland Park,Brooklyn
-73.948415153289,40.609377701137696,Madison,Brooklyn
